Organization name,Category,Description,Technologies,Topics,Link
Haiku,Operating Systems,Light open-source operating system that specifically targets personal computing.,"c++,posix"," desktop integration,operating system,kernel,user interface,frameworks",https://summerofcode.withgoogle.com/archive/2017/organizations/5096040436858880/
Homebrew,Programming Languages and Development Tools,Homebrew is a package manager for macOS written in Ruby.,"ruby,git,github,bash,macos","package management,distribution,development tools",https://summerofcode.withgoogle.com/archive/2017/organizations/6752289616297984/
illumos.org,Operating Systems,Open Source successor of OpenSolaris,"dtrace,illumos,unix,openzfs,zfs","drivers,virtualization,storage,networking,kernel",https://summerofcode.withgoogle.com/archive/2017/organizations/6221940343701504/
INCF,Science and Medicine,Advancing global collaborative brain research,"c++,python,java,xml,gpu","neuroscience,big data,brain modeling,science,bio/neuro image processing",https://summerofcode.withgoogle.com/archive/2017/organizations/6593178794721280/
Inkscape,Graphics / Video / Audio / Virtual Reality,"Inkscape is a professional vector graphics editor for Windows, Mac OSX, & Linux.","svg,css,c++,c++11,python"," graphics,web,standards,geometry",https://summerofcode.withgoogle.com/archive/2017/organizations/5404830063394816/
Institute for Artificial Intelligence,Science and Medicine,Research in Artificial Intelligence and Perception for Autonomous Mobile Robots,"lisp,prolog,c++,python,ros","artificial intelligence,robotics,knowledge representation,machine learning,robot perception",https://summerofcode.withgoogle.com/archive/2017/organizations/6330829038944256/
Intel Media and Audio for Linux,Graphics / Video / Audio / Virtual Reality,"Open Source Media libraries, Applications and User space driver.","video,decode,encode,vpp,multimedia","accelerated media,video,compress,encoding,camera",https://summerofcode.withgoogle.com/archive/2017/organizations/6149200777576448/
Internet Archive,Web,Universal Access to All Knowledge,"python,javascript","web archiving,non-profit",https://summerofcode.withgoogle.com/archive/2017/organizations/5373878247358464/
JBoss Community,Programming Languages and Development Tools,Community of Java projects around JBoss Middleware,"java,android,asciidoctor,mobil,kubernetes","testing,monitoring,enterprise application,eclipse,openshift",https://summerofcode.withgoogle.com/archive/2017/organizations/5307802188775424/
JdeRobot - Universidad Rey Juan Carlos,Other,A software framework for developing applications in robotics and computer vision,"python,c/c++,ros,gazebo","robotics,computer vision,robot simulator,teaching",https://summerofcode.withgoogle.com/archive/2017/organizations/4923454155390976/
Jitsi,Social / Communications,Advanced Real-Time Communication,"webrtc,java,javascript,sip,xmpp","multimedia,real time",https://summerofcode.withgoogle.com/archive/2017/organizations/5461033468559360/
Joomla,Web,A free and Open Source CMS Trusted By Millions for their Websites,"php,html,html/css, javascript,jquery","web,web application, cms, object-oriented",https://summerofcode.withgoogle.com/archive/2017/organizations/5861923971137536/
JSK Robotics Laboratory,Science and Medicine,Humanoid Robotics Laboratory at the University of Tokyo,"ros,lisp,prolog,openhrp,openrtm","robotics,artificial intelligence",https://summerofcode.withgoogle.com/archive/2017/organizations/6380010977886208/
K-9 Mail,End User Applications,K-9 Mail – Advanced Email for Android,"android,java","email,communication",https://summerofcode.withgoogle.com/archive/2017/organizations/6184001823834112/
KDE,End User Applications,Experience Freedom!,"c++,qt,qt5","desktop,desktop application,education,science,communication",https://summerofcode.withgoogle.com/archive/2017/organizations/5586250824155136/
LabLua,Programming Languages and Development Tools,Programming Languages Research with emphasis on  the Lua language,"lua,céu","scripting languages,reactive programming",https://summerofcode.withgoogle.com/archive/2017/organizations/5842237585883136/
LibreHealth,Science and Medicine,Healthcare for Humanity,"java,php,javascript,mysql",web,https://summerofcode.withgoogle.com/archive/2017/organizations/5574687430017024/
LibreOffice,End User Applications,"Free Office Suite, Fun Project, Fantastic People","c++,python,java","office suite,desktop application",https://summerofcode.withgoogle.com/archive/2017/organizations/5507893709242368/
libvirt,Cloud,virtualization abstraction library,"kvm,xen,hypervisor","virtualization,library",https://summerofcode.withgoogle.com/archive/2017/organizations/6082542885142528/
Liquid Galaxy Project,Graphics / Video / Audio / Virtual Reality,Get immersed in open-source!,"javascript,ros,gis,cesiumjs","virtual reality,geospatial,visualisation,graphics,webvr",https://summerofcode.withgoogle.com/archive/2017/organizations/5279287632461824/
LLVM Compiler Infrastructure,Programming Languages and Development Tools,llvm,"llvm,clang","compiler,compilers",https://summerofcode.withgoogle.com/archive/2017/organizations/6215410651234304/
lowRISC,Other,Creating a fully open-source SoC design,"verilog,chisel,risc-v,linux","fpga,hardware,soc,security",https://summerofcode.withgoogle.com/archive/2017/organizations/5688479367299072/
LuaRocks,Programming Languages and Development Tools,The package manager for the Lua programming language,"lua, lua,luarocks","programming tools,programming language,package management",https://summerofcode.withgoogle.com/archive/2017/organizations/5624527572697088/
MariaDB,Data and Databases,One of the most popular databases on the web with many notable users,"mariadb,mysql,c,c++,java",database,https://summerofcode.withgoogle.com/archive/2017/organizations/4752192066027520/
Matrix.org,Social / Communications,An ambitious open source project creating a new decentralised comms ecosystem.,"react, android,ios,golang,nodejs"," real time,communication,collaboration,decentralisation,interoperability",https://summerofcode.withgoogle.com/archive/2017/organizations/6700587336859648/
MBDyn,Science and Medicine,High fidelity multibody dynamics engine with extended capabilities,"c++,python","engineering,science,numerical methods,aerospace,mechanics",https://summerofcode.withgoogle.com/archive/2017/organizations/6633793616084992/
MetaBrainz Foundation Inc.,Data and Databases,MetaBrainz operates MusicBrainz and a number of related open data projects.,"postgres,perl,python,javascript,bigquery","music,data,big data,open data,community",https://summerofcode.withgoogle.com/archive/2017/organizations/5723792051535872/
Metasploit,Security,Open Source framework for exploit development and penetration testing,"ruby,c,asm","security,exploitation",https://summerofcode.withgoogle.com/archive/2017/organizations/5632986779222016/
Microkernel devroom,Operating Systems,"Confederation of microkernel projects (Genode, HelenOS, GNU Hurd, MINIX, Redox)","c,c++,rust,arm,x86","microkernel,components,ipc,desktop,virtualization",https://summerofcode.withgoogle.com/archive/2017/organizations/5026327212064768/
Mifos Initiative,End User Applications,End Poverty One Line of Code at a Time,"java,android,angularjs,spring,mysql","fintech,mobile banking,digital financial services,microfinance,financial inclusion",https://summerofcode.withgoogle.com/archive/2017/organizations/5486404108812288/
MIT App Inventor,Programming Languages and Development Tools,Empowering anyone to make their world a better place,"java,javascipt,app,google app engine,gwt","mobile apps,api,blockchain,education,iot",https://summerofcode.withgoogle.com/archive/2017/organizations/6712150730997760/
Mixxx DJ Software,Graphics / Video / Audio / Virtual Reality,DJ Your Way. For Free.,"qt,c++,c++11,midi,hid","audio,dsp,music,dj,art",https://summerofcode.withgoogle.com/archive/2017/organizations/5298974017716224/
mlpack,Data and Databases,a scalable C++ machine learning library,c++,machine learning,https://summerofcode.withgoogle.com/archive/2017/organizations/5584462775582720/
Mobile Robot Programming Toolkit (MRPT),Science and Medicine,Mobile Robot Programming Toolkit: empowering C++ development in robotics,"qt,c++,opengl,wxwidgets,ros","robotics,slam,computer vision,webapps,algorithms",https://summerofcode.withgoogle.com/archive/2017/organizations/5289044053327872/
Mono Project,Programming Languages and Development Tools,Cross-platform C#/F#/.NET runtime and tools,"c#,.net,f#,c","compiler,ide,mobile development,web development,programming tools",https://summerofcode.withgoogle.com/archive/2017/organizations/4814565460148224/
Moodle,Social / Communications,The world's open source learning platform,"php,jquery,mysql,postgresql, javascript","education,web application,e-learning,school system,learning management",https://summerofcode.withgoogle.com/archive/2017/organizations/5171600185884672/
MovingBlocks,End User Applications,Terasology: like an open source Minecraft - imagine the possibilities!,"java,opengl,blender,json,gradle","games,voxel,minecraft,sandbox,modding",https://summerofcode.withgoogle.com/archive/2017/organizations/4985951029821440/
Mozilla,Web,"Internet for people, not profit.","js,rust,html/css,c++,python","web, web platform and services,education,web browser",https://summerofcode.withgoogle.com/archive/2017/organizations/6414943960170496/
MuseScore,Graphics / Video / Audio / Virtual Reality,Free and open-source music notation software,"c++11,qt5,qt,breakpad","music engraving,music,midi,sheet music",https://summerofcode.withgoogle.com/archive/2017/organizations/4738118800375808/
National Resource for Network Biology (NRNB),Science and Medicine,Developing open source software to enable network-based biomedical discovery,"java, javascript,python,php,c++","network biology,graphics,web,ui/ux,database",https://summerofcode.withgoogle.com/archive/2017/organizations/6499778154201088/
Netfilter project,Operating Systems,FOSS community-driven project that provides firewalling tools for Linux,"linux,kernel,c","firewall,networking",https://summerofcode.withgoogle.com/archive/2017/organizations/6602954140286976/
Nmap Security Scanner,Security,Swiss Army knife of network discovery and security auditing,"c/c++,lua,python,c,c++","security,networking,ipv6,linux,network mapping",https://summerofcode.withgoogle.com/archive/2017/organizations/5603880054292480/
NumFOCUS,Science and Medicine,NumFOCUS promotes open source scientific software.,"python,javascript,r,c/c++","scientific computing, numerical computation, graphics, data science",https://summerofcode.withgoogle.com/archive/2017/organizations/6630791836598272/
Open Bioinformatics Foundation,Science and Medicine,Promoting practice & philosophy of OSS & Open Science in biological research.," python,perl,java,c++,c/c++",bioinformatics,https://summerofcode.withgoogle.com/archive/2017/organizations/6098536001175552/
Open Chemistry,Science and Medicine,Advancing Open Source and Open Science for Chemistry,"python,c++,opengl,javascript,java","scientific visualization,graphics,chemistry,data science",https://summerofcode.withgoogle.com/archive/2017/organizations/5928781713768448/
Open Data Kit,End User Applications,Open Data Kit is used to collect data for social good in difficult environments.,"android,java,python,javascript,ruby"," mobile,cloud,global development,global health,social good",https://summerofcode.withgoogle.com/archive/2017/organizations/4593100034932736/
Open Detection,Other,Open Detection is a open source project for object detection and recognition.,"c++,caffe,pcl,opencv","computer vision,ai",https://summerofcode.withgoogle.com/archive/2017/organizations/6015282623545344/
Open Genome Informatics,Science and Medicine,Open Genome Informatics represents the efforts of many bioinformatics projects.,"python,java,javascript,nodejs,gwt","bioinformatics,data mining,genome,databases,computational biology",https://summerofcode.withgoogle.com/archive/2017/organizations/4997812655751168/
Open States,Other,Opening State Legislatures,"python,django,javascript,postgresql","government,web,journalism,civic",https://summerofcode.withgoogle.com/archive/2017/organizations/5076494711783424/
Open Technologies Alliance - GFOSS,Other,Promote Openness through use and development of Open Standards and Technologies," php, java, mysql, virtuoso,python","data,cloud,hardware",https://summerofcode.withgoogle.com/archive/2017/organizations/6266968780832768/
OpenAstronomy,Science and Medicine,Opening the eyes of research astronomy software to the whole world.,"python,julia,qt","visualisation,data science,astrophysics,solar physics",https://summerofcode.withgoogle.com/archive/2017/organizations/6563063020912640/
OpenCV,Graphics / Video / Audio / Virtual Reality,Open Source Computer Vision and Machine Learning Library,"vision, deep learning, c++, python","computer vision, deep learning, robotics, virtual reality, real time",https://summerofcode.withgoogle.com/archive/2017/organizations/6424873924558848/
OpenMRS,Science and Medicine,Write Code. Save Lives.,"java,javascript,html/css,hibernate,mysql","clinical,developing world,medical records",https://summerofcode.withgoogle.com/archive/2017/organizations/6111850936664064/
OpenStreetMap,Data and Databases,OpenStreetMap - Creating and distributing free geographic data for the world.,"postgis, java, ruby, javascript","gis, maps, crowdsourcing, geoinformatics",https://summerofcode.withgoogle.com/archive/2017/organizations/6746951777255424/
openSUSE,Operating Systems,"The makers' choice for sysadmins, developers and desktop users.","ruby on rails,javascript ,docker,linux,angular.js","linux distribution,web development,realtime,virtualization,conferences",https://summerofcode.withgoogle.com/archive/2017/organizations/6729779961135104/
OpenWISP,Web,Open Source solution to build and manage wifi networks,"python,django,javascript,openwrt,raspberry pi","networking,wireless,configuration management,telecommunications,web",https://summerofcode.withgoogle.com/archive/2017/organizations/4763591446102016/
Oppia Foundation,Web,Oppia is a tool for collaboratively building interactive and intelligent tutors.,"python,google app engine,angularjs,javascript,css","education,interactive,web,tools,community",https://summerofcode.withgoogle.com/archive/2017/organizations/6040525891174400/
